,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate
2778,600776.SH,东方通信,通信设备,13.0,11.804,12.487
140,000550.SZ,江铃汽车,汽车整车,7.0,5.627,0.811
1190,002733.SZ,雄韬股份,电气设备,7.0,10.896,9.543
1007,002547.SZ,春兴精工,通信设备,7.0,8.828,15.629
705,002243.SZ,通产丽星,塑料,6.0,20.433,13.867
912,002451.SZ,摩恩电气,电气设备,5.0,8.875,13.379
2371,600290.SH,华仪电气,电气设备,5.0,6.696,10.031
1035,002575.SZ,群兴玩具,文教休闲,5.0,6.79,8.664
1696,300312.SZ,邦讯技术,通信设备,4.0,5.247,17.7
1528,300143.SZ,星普医科,医疗保健,4.0,5.475,1.672
53,000070.SZ,特发信息,通信设备,4.0,14.381,14.791
1382,002941.SZ,新疆交建,建筑施工,4.0,13.092,40.581
1012,002552.SZ,*ST宝鼎,机械基件,4.0,5.93,1.231
945,002484.SZ,江海股份,元器件,4.0,5.07,2.171
2008,300632.SZ,光莆股份,半导体,4.0,6.557,20.231
731,002270.SZ,华明装备,电气设备,4.0,9.071,5.551
2121,300751.SZ,迈为股份,专用机械,4.0,6.185,7.516
2829,600833.SH,第一医药,医药商业,4.0,6.972,4.148
3430,603688.SH,石英股份,矿物制品,4.0,5.149,1.55
3416,603663.SH,三祥新材,矿物制品,4.0,5.818,3.407
2703,600696.SH,ST岩石,区域地产,4.0,5.956,0.911
3064,601700.SH,风范股份,电气设备,4.0,24.128,11.663
586,002124.SZ,天邦股份,饲料,4.0,6.379,1.603
2362,600280.SH,中央商场,百货,3.0,5.962,1.673
2164,600055.SH,万东医疗,医疗保健,3.0,6.077,0.967
2212,600107.SH,美尔雅,服饰,3.0,5.296,2.342
2269,600172.SH,黄河旋风,矿物制品,3.0,6.678,2.903
3228,603181.SH,皇马科技,化工原料,3.0,5.442,2.913
3090,601881.SH,中国银河,证券,3.0,5.824,2.234
2328,600238.SH,*ST椰岛,红黄药酒,3.0,7.726,0.659
2341,600255.SH,梦舟股份,铜,3.0,5.205,2.375
2613,600595.SH,中孚实业,铝,3.0,14.434,4.124
2491,600446.SH,金证股份,软件服务,3.0,5.997,3.328
2498,600459.SH,贵研铂业,小金属,3.0,7.782,6.287
2803,600804.SH,鹏博士,电信运营,3.0,7.782,3.911
2768,600765.SH,中航重机,机械基件,3.0,5.902,1.501
2511,600478.SH,科力远,元器件,3.0,5.56,1.423
2679,600671.SH,天目药业,中成药,3.0,6.502,0.882
2547,600519.SH,贵州茅台,白酒,3.0,5.055,0.342
2631,600614.SH,鹏起科技,综合类,3.0,19.814,11.657
2607,600588.SH,用友网络,软件服务,3.0,5.262,0.965
2610,600592.SH,龙溪股份,机械基件,3.0,5.024,3.271
41,000055.SZ,方大集团,其他建材,3.0,14.161,4.58
1405,300019.SZ,硅宝科技,化工原料,3.0,8.151,2.497
1977,300600.SZ,瑞特股份,电气设备,3.0,8.006,5.401
1496,300111.SZ,向日葵,半导体,3.0,8.746,3.608
73,000400.SZ,许继电气,电气设备,3.0,5.984,2.213
94,000426.SZ,兴业矿业,铅锌,3.0,8.667,4.138
167,000587.SZ,金洲慈航,批发业,3.0,9.274,10.53
173,000595.SZ,宝塔实业,机械基件,3.0,15.247,7.144
178,000600.SZ,建投能源,火力发电,3.0,5.32,1.376
187,000611.SZ,天首发展,纺织,3.0,6.76,3.04
299,000777.SZ,中核科技,机械基件,3.0,5.057,2.543
319,000801.SZ,四川九洲,通信设备,3.0,5.083,2.554
399,000921.SZ,海信家电,家用电器,3.0,6.076,2.536
464,002002.SZ,鸿达兴业,化工原料,3.0,5.947,2.133
525,002063.SZ,远光软件,软件服务,3.0,11.008,4.252
560,002098.SZ,浔兴股份,服饰,3.0,8.9,14.006
667,002205.SZ,国统股份,其他建材,3.0,5.585,2.072
750,002289.SZ,宇顺电子,元器件,3.0,8.836,2.57
840,002379.SZ,宏创控股,铝,3.0,5.317,0.632
938,002477.SZ,雏鹰农牧,农业综合,3.0,6.574,4.063
959,002498.SZ,汉缆股份,电气设备,3.0,13.497,3.617
1056,002596.SZ,海南瑞泽,其他建材,3.0,6.96,4.205
1075,002615.SZ,哈尔斯,家居用品,3.0,6.502,1.705
1081,002621.SZ,三垒股份,专用机械,3.0,6.75,0.721
1111,002651.SZ,利君股份,专用机械,3.0,5.367,2.548
1134,002674.SZ,兴业科技,纺织,3.0,7.494,1.721
1239,002786.SZ,银宝山新,专用机械,3.0,5.181,1.522
1446,300061.SZ,康旗股份,医疗保健,3.0,6.62,2.51
1476,300091.SZ,金通灵,机械基件,3.0,5.117,5.253
3496,603828.SH,柯利达,装修装饰,3.0,5.059,0.946
