,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601100.SH,601100,恒立液压,工程机械,15.0,1151.33,"全国社保基金一零八组合
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
天达资产管理有限公司-天达环球策略基金-全中国股票基金(交易所)
中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
交通银行-融通行业景气证券投资基金
全国社保基金四零六组合
全国社保基金一零一组合
香港中央结算有限公司(陆股通)
中国银行-华夏大盘精选证券投资基金",9.0
1,002647.SZ,002647,仁东控股,多元金融,10.0,362.0,重庆信三威投资咨询中心(有限合伙)-润泽2号私募基金,1.0
2,603223.SH,603223,恒通股份,供气供热,9.0,65.28,"山东一圈一带产业投资基金有限公司-山高-圈带私募基金
深圳能敬投资控股有限公司-能敬安颐二号私募证券投资基金",2.0
3,002706.SZ,002706,良信股份,电气设备,9.0,155.27,"中央汇金资产管理有限责任公司
汇添富基金管理股份有限公司-社保基金四二三组合
首域投资管理(英国)有限公司-首域环球伞子基金:首域中国增长基金
中国建设银行股份有限公司-汇添富价值创造定期开放混合型证券投资基金
中国工商银行股份有限公司-汇添富蓝筹稳健灵活配置混合型证券投资基金",5.0
4,002735.SZ,002735,王子新材,塑料,8.0,40.34,中央汇金资产管理有限责任公司,1.0
5,000913.SZ,000913,钱江摩托,摩托车,8.0,125.36,"华融国际信托有限责任公司-华融.汇盈32号证券投资单一资金信托
宝城期货-宝城精选三号结构化资产管理计划
广发期货有限公司-广发期慧1期资产管理计划",3.0
6,600809.SH,600809,山西汾酒,白酒,8.0,2326.19,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一四组合",7.0
7,601908.SH,601908,京运通,新型电力,7.0,121.77,"安徽中安资本投资基金有限公司
上海甄投资产管理有限公司-甄投创鑫28号私募证券投资基金
安徽省铁路发展基金股份有限公司
中央汇金资产管理有限责任公司",4.0
8,603129.SH,603129,春风动力,摩托车,7.0,208.61,"中国工商银行股份有限公司-富国高新技术产业混合型证券投资基金
基本养老保险基金一六零二一组合
鹏华基金-建设银行-中国人寿-中国人寿保险(集团)公司委托鹏华基金管理有限公司定增组合
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国工商银行-上投摩根内需动力股票型证券投资基金
中国国际金融香港资产管理有限公司-客户资金
招商银行股份有限公司-富国科创主题3年封闭运作灵活配置混合型证券投资基金
全国社保基金五零三组合
中信信托有限责任公司-中信信托锐进52期泓澄投资集合资金信托计划
中国工商银行股份有限公司-富国龙头优势混合型证券投资基金",11.0
9,603110.SH,603110,东方材料,染料涂料,7.0,29.16,,0.0
