,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_CRIMSON_RATE,COL_PCT_CHG_STD
0,000156.SZ,华数传媒,影视音像,10.39,0.09633911368014392,inf,0.4,2.21
1,603108.SH,润达医疗,医药商业,10.45,0.09578544061301653,inf,0.53,1.5
2,600467.SH,好当家,渔业,2.46,0.40816326530610514,inf,0.4,2.24
3,002567.SZ,唐人神,饲料,8.68,0.11534025374855261,inf,0.4,2.58
4,002517.SZ,恺英网络,互联网,2.88,1.0526315789473717,inf,0.67,2.35
5,600726.SH,华电能源,火力发电,1.79,0.561797752808979,inf,0.2,2.62
6,002909.SZ,集泰股份,化工原料,11.32,0.08841732979663064,inf,0.6,1.24
7,603626.SH,科森科技,专用机械,11.34,0.2652519893899141,inf,0.4,2.93
8,002392.SZ,北京利尔,其他建材,3.72,0.26954177897575704,inf,0.47,1.63
9,300147.SZ,香雪制药,中成药,9.55,0.20986358866736943,inf,0.4,1.66
10,002331.SZ,皖通科技,软件服务,10.25,0.19550342130987275,inf,0.2,2.59
11,002307.SZ,北新路桥,建筑工程,5.81,1.21951219512193,inf,0.53,4.01
12,002225.SZ,濮耐股份,其他建材,4.13,0.24271844660193054,inf,0.47,1.47
13,600662.SH,强生控股,公共交通,4.35,3.325415676959609,inf,0.27,5.15
14,300337.SZ,银邦股份,铝,3.52,0.2849002849002913,inf,0.6,2.16
15,300425.SZ,中建环能,环境保护,4.71,0.21276595744681437,inf,0.33,1.17
16,600655.SH,豫园股份,百货,7.55,0.13262599469496816,inf,0.53,1.29
17,600624.SH,复旦复华,化学制药,9.2,0.10881392818280489,inf,0.73,2.3
18,300721.SZ,怡达股份,化工原料,19.87,1.0167768174885516,inf,0.8,3.84
19,000735.SZ,罗牛山,农业综合,9.99,0.10020040080160886,inf,0.67,1.57
20,000731.SZ,四川美丰,农药化肥,4.92,0.20366598778003286,inf,0.53,2.5
21,600220.SH,江苏阳光,纺织,2.32,0.43290043290042934,inf,0.6,2.34
22,000598.SZ,兴蓉环境,水务,4.7,0.2132196162046851,inf,0.4,1.07
23,000570.SZ,苏常柴A,机械基件,4.46,0.22471910112358273,inf,0.67,1.44
24,600249.SH,两面针,日用化工,4.27,0.23474178403755097,inf,0.73,2.53
25,002753.SZ,永东股份,化工原料,7.29,0.27510316368639653,inf,0.67,3.28
26,600329.SH,中新药业,中成药,13.64,0.9622501850481191,1199.0377498150174,0.47,3.0
27,000967.SZ,盈峰环境,环境保护,6.35,0.9538950715421324,499.04610492843835,0.47,2.26
28,600233.SH,圆通速递,仓储物流,12.88,0.3897116134060852,399.6102883866123,0.53,2.32
29,600489.SH,中金黄金,黄金,8.38,0.6002400960384291,399.3997599039517,0.67,2.78
30,600515.SH,海航基础,全国地产,4.97,1.0162601626016121,398.98373983741084,0.67,2.26
31,000551.SZ,创元科技,专用机械,7.7,2.257636122177953,322.7423638778166,0.47,4.48
32,002713.SZ,东易日盛,装修装饰,6.78,0.5934718100890191,299.4065281899112,0.67,6.15
33,600692.SH,亚通股份,房产服务,6.32,0.6369426751592355,299.36305732482936,0.73,2.21
34,002338.SZ,奥普光电,电器仪表,14.46,1.4025245441795287,298.5974754558207,0.67,3.1
35,002650.SZ,加加食品,食品,3.84,2.127659574468077,297.87234042554536,0.6,4.52
36,002782.SZ,可立克,电气设备,10.44,1.0648596321394033,265.6018070345398,0.6,3.12
37,300233.SZ,金城医药,化学制药,20.52,0.8353808353808168,239.16461916460437,0.47,2.61
38,603506.SH,南都物业,房产服务,20.35,0.992555831265518,232.3407775020772,0.53,2.61
39,002946.SZ,新乳业,乳制品,11.96,1.3559322033898313,218.6440677966016,0.67,4.51
40,603979.SH,金诚信,建筑工程,8.72,0.3452243958573131,199.65477560415633,0.53,2.16
41,600523.SH,贵航股份,汽车配件,13.5,0.6711409395973034,199.32885906041125,0.67,3.45
42,600645.SH,中源协和,生物制药,18.75,0.9693053311793154,199.03069466881539,0.47,3.36
43,000861.SZ,海印股份,房产服务,2.51,1.2096774193548265,198.79032258064754,0.53,1.74
44,603976.SH,正川股份,医疗保健,17.3,1.1104617182934096,170.318109710283,0.6,7.06
45,603703.SH,盛洋科技,通信设备,17.44,2.7090694935217874,167.87916580059132,0.73,2.85
46,002873.SZ,新天药业,中成药,18.1,0.27700831024930483,149.72299168974854,0.53,3.44
47,002866.SZ,传艺科技,IT设备,14.88,0.3371544167228624,149.6628455833049,0.47,3.08
48,300644.SZ,南京聚隆,塑料,31.42,0.4796929964822505,149.52030700352176,0.4,6.0
49,300412.SZ,迦南科技,医疗保健,7.27,0.6925207756232732,149.30747922437922,0.53,1.67
50,600209.SH,ST罗顿,综合类,3.39,1.4970059880239583,148.50299401197398,0.67,2.95
51,600859.SH,王府井,百货,13.38,2.2154316271963292,139.45123503947266,0.93,4.66
52,300106.SZ,西部牧业,农业综合,6.37,1.1111111111111072,132.22222222221478,0.47,4.61
53,300620.SZ,光库科技,元器件,38.71,0.4150453955901412,128.1563831758437,0.73,3.5
54,603922.SH,金鸿顺,汽车配件,16.03,0.5646173149310041,124.43538268507419,0.47,3.56
55,600639.SH,浦东金桥,园区开发,13.16,0.6885998469777999,124.31140015301074,0.6,2.58
56,603486.SH,科沃斯,家用电器,22.02,1.1483693155718955,107.18496401775744,0.67,3.83
57,000403.SZ,双林生物,生物制药,36.72,3.378378378378377,107.14793741109445,0.4,4.62
58,002007.SZ,华兰生物,生物制药,41.5,0.8995866763919169,104.65596887916182,0.47,2.39
59,300621.SZ,维业股份,装修装饰,10.7,0.1872659176029856,99.81273408241218,0.73,1.54
60,603693.SH,江苏新能,新型电力,9.59,0.8412197686645584,99.15878023134132,0.73,5.79
61,002397.SZ,梦洁股份,纺织,5.04,4.132231404958686,95.86776859504205,0.4,5.52
62,600126.SH,杭钢股份,普钢,6.3,3.109656301145658,86.8903436988542,0.53,4.12
63,601038.SH,一拖股份,农用机械,6.93,2.6666666666666616,47.333333333333584,0.73,5.25
64,002723.SZ,金莱特,家用电器,10.97,4.476190476190478,42.3988095238093,0.73,3.74
65,600359.SH,新农开发,农业综合,6.62,4.088050314465397,40.35639412997762,0.73,7.29
66,002127.SZ,南极电商,互联网,12.22,3.122362869198314,39.185329438494506,0.67,4.54
67,000613.SZ,大东海A,旅游服务,6.43,1.1006289308175932,38.899371069176425,0.93,1.79
68,300463.SZ,迈克生物,医疗保健,32.94,3.8134257800189086,33.6865742199812,0.53,5.21
69,300511.SZ,雪榕生物,种植业,8.62,3.233532934131733,31.7664670658689,0.47,3.12
70,600540.SH,新赛股份,种植业,4.25,1.918465227817756,31.414868105516458,0.73,5.54
71,600861.SH,北京城乡,百货,10.26,1.6848364717542141,29.08439429747731,0.73,1.61
72,603879.SH,永悦科技,化工原料,13.82,3.4431137724550975,24.334664005323003,0.67,4.32
73,603696.SH,安记食品,食品,9.55,4.030501089324634,23.555705807227923,0.67,6.4
74,603229.SH,奥翔药业,化学制药,27.07,4.075355632449051,20.63052672049197,0.6,4.43
75,600143.SH,金发科技,塑料,9.61,3.4445640473627526,19.632359029560664,0.53,3.76
76,601606.SH,长城军工,专用机械,10.55,0.5719733079122991,19.428026692084277,0.73,3.73
77,002851.SZ,麦格米特,电气设备,22.69,1.3398838767306964,18.66011612327081,0.73,2.92
78,300677.SZ,英科医疗,医疗保健,43.16,6.911072578647515,17.64249884992426,0.6,4.48
79,002409.SZ,雅克科技,化工原料,36.53,3.80789997158284,13.7359596775398,0.67,4.09
80,300503.SZ,昊志机电,机械基件,12.46,1.300813008130075,12.984901277582628,0.73,1.93
81,603258.SH,电魂网络,互联网,31.14,2.0314547837483543,12.783360031066904,0.73,2.54
82,002498.SZ,汉缆股份,电气设备,3.84,4.065040650406493,11.319574734208814,0.6,5.67
83,002074.SZ,国轩高科,电气设备,21.53,3.1130268199233813,10.922060899375353,0.67,3.81
84,002824.SZ,和胜股份,铝,16.67,3.5403726708074457,8.224333211544543,0.4,4.33
85,002046.SZ,轴研科技,机械基件,6.86,4.255319148936176,7.74468085106399,0.93,5.84
86,600057.SH,厦门象屿,仓储物流,4.78,2.35546038543899,7.644539614562373,0.73,1.8
87,688023.SH,安恒信息,软件服务,223.18,3.4294188525349822,6.689628766512112,0.67,4.6
88,603686.SH,龙马环卫,环境保护,14.89,3.1878031878031843,6.336006336006195,0.4,2.69
89,002803.SZ,吉宏股份,互联网,32.91,1.3238916256157696,6.1761083743847145,0.8,1.84
90,603208.SH,江山欧派,家居用品,86.5,5.077745383867849,5.797586181119474,0.67,3.26
91,300206.SZ,理邦仪器,医疗保健,11.53,3.038427167113489,3.2115728328865334,0.53,3.27
92,603713.SH,密尔克卫,仓储物流,53.91,3.7728585178055773,2.1730874281402857,0.6,2.9
93,603127.SH,昭衍新药,医疗保健,79.49,3.5565398645127644,1.8488655408924304,0.6,2.49
