,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601005.SH,601005,重庆钢铁,普钢,1.79,1.0,1.0,150.01,,0.0
1,600726.SH,600726,华电能源,火力发电,2.53,1.0,1.0,38.83,,0.0
2,000892.SZ,000892,欢瑞世纪,影视音像,2.84,1.0,1.0,15.28,全国社保基金一一八组合,1.0
3,600396.SH,600396,金山股份,火力发电,2.89,1.0,1.0,42.56,,0.0
4,600569.SH,600569,安阳钢铁,普钢,2.93,1.0,1.0,70.13,"上海银行股份有限公司-国泰上证综合交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",2.0
5,601866.SH,601866,中远海发,水运,2.96,1.0,1.0,234.79,"兴业全球基金-上海银行-中国海运(集团)总公司
河南伊洛投资管理有限公司-乐天1号伊洛私募证券投资基金
中央汇金资产管理有限责任公司
河南伊洛投资管理有限公司-伊洛9号私募证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",6.0
6,600231.SH,600231,凌钢股份,普钢,3.03,1.0,1.0,85.63,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金",3.0
7,000056.SZ,000056,皇庭国际,房产服务,3.07,1.0,1.0,27.74,,0.0
8,000523.SZ,000523,广州浪奇,日用化工,3.08,1.0,1.0,19.31,上海通怡投资管理有限公司-通怡梧桐11号私募证券投资基金,1.0
9,000520.SZ,000520,长航凤凰,水运,3.38,1.0,1.0,34.21,山西黄河股权投资管理有限公司-山西太行兴企并购投资分级私募基金,1.0
10,600117.SH,600117,西宁特钢,特种钢,4.0,1.0,1.0,41.8,,0.0
11,002490.SZ,002490,山东墨龙,化工机械,4.11,1.0,1.0,22.26,"深圳前海经纬融和资产管理有限公司-融和2期私募证券投资基金
中央汇金资产管理有限责任公司",2.0
12,000632.SZ,000632,三木集团,综合类,4.2,1.0,1.0,19.55,"中意资管-浦发银行-中意资产-股票精选19号资产管理产品
上海驰泰资产管理有限公司-兴驰一号私募证券投资基金
华润深国投信托有限公司-华润信托·捷昀25号集合资金信托计划",3.0
13,002172.SZ,002172,澳洋健康,化纤,4.25,1.0,1.0,32.85,,0.0
14,600428.SH,600428,中远海特,水运,4.28,1.0,1.0,91.88,"华夏基金-农业银行-华夏中证金融资产管理计划
前海开源基金-包商银行-前海开源定增11号资产管理计划
中央汇金资产管理有限责任公司
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划",6.0
15,600798.SH,600798,宁波海运,水运,4.77,1.0,1.0,49.17,,0.0
16,603399.SH,603399,吉翔股份,小金属,4.81,1.0,1.0,24.44,"华融融达期货-陕国投·聚宝盆66号证券投资集合资金信托计划-华信金玉一号定向资产管理计划
上海天倚道投资管理有限公司-天倚道昕弘成长5号私募证券投资基金
温州德裕资产管理有限公司-德裕钱江一号证券私募投资基金
日照汇银股权投资基金管理合伙企业(有限合伙)
上海具力资产管理有限公司-具力进取6号私募证券投资基金
温州德裕资产管理有限公司-德裕价值7号私募证券投资基金
上海天倚道投资管理有限公司-天倚道昕弘成长7号私募证券投资基金
杭州太乙投资管理有限公司-太乙多策略1号私募证券投资基金",8.0
17,000959.SZ,000959,首钢股份,普钢,4.97,1.0,1.0,251.34,"北京纳木纳尼资产管理有限公司
香港中央结算有限公司(陆股通)",2.0
18,600590.SH,600590,泰豪科技,电气设备,5.5,1.0,1.0,46.47,,0.0
19,002536.SZ,002536,飞龙股份,汽车配件,5.85,1.0,1.0,27.56,北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金,1.0
20,601216.SH,601216,君正集团,化工原料,5.97,1.0,1.0,503.75,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
21,002591.SZ,002591,恒大高新,化工原料,6.08,1.0,1.0,13.17,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC互联网金融产业投资基金,1.0
22,600121.SH,600121,郑州煤电,煤炭开采,6.15,1.0,1.0,74.93,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
23,600710.SH,600710,苏美达,工程机械,6.31,1.0,1.0,82.46,"国机资产管理有限公司
江苏沿海产业投资基金(有限合伙)",2.0
24,600340.SH,600340,华夏幸福,区域地产,6.9,1.0,1.0,268.64,"中央汇金资产管理有限责任公司
华夏控股-光大证券-20华EB02担保及信托财产专户
华夏控股-光大证券-20华夏EB担保及信托财产专户
香港中央结算有限公司(陆股通)",4.0
25,002774.SZ,002774,快意电梯,运输设备,7.03,1.0,1.0,19.67,,0.0
26,601015.SH,601015,陕西黑猫,焦炭加工,7.4,1.0,1.0,120.6,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
27,002053.SZ,002053,云南能投,食品,7.78,1.0,1.0,43.44,中央汇金资产管理有限责任公司,1.0
28,000698.SZ,000698,沈阳化工,化工原料,7.92,1.0,1.0,62.23,"易方达资产-工商银行-易方达资产华瑞3号资产管理计划
上海国际信托有限公司
国泰基金-浦发银行-国泰-禾盈1号资产管理计划
国泰基金-上海银行-国泰基金格物2号集合资产管理计划
国泰基金-工商银行-国泰基金格物1号资产管理计划
国泰基金-招商证券股份有限公司-国泰基金-招金1号单一资产管理计划",6.0
29,000657.SZ,000657,中钨高新,小金属,8.46,1.0,1.0,80.17,香港中央结算有限公司(陆股通),1.0
30,002378.SZ,002378,章源钨业,小金属,8.76,1.0,1.0,80.16,,0.0
31,601956.SH,601956,东贝集团,机械基件,10.29,1.0,1.0,21.3,,0.0
32,600746.SH,600746,江苏索普,化工原料,12.58,1.0,1.0,38.33,,0.0
33,605006.SH,605006,山东玻纤,玻璃,12.98,1.0,1.0,12.98,,0.0
34,603926.SH,603926,铁流股份,汽车配件,13.19,1.0,1.0,20.92,,0.0
35,605158.SH,605158,华达新材,钢加工,13.32,1.0,1.0,13.11,,0.0
36,600707.SH,600707,彩虹股份,元器件,13.4,1.0,1.0,331.64,"合肥芯屏产业投资基金(有限合伙)
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划",2.0
37,603159.SH,603159,上海亚虹,专用机械,13.48,1.0,1.0,18.87,,0.0
38,002857.SZ,002857,三晖电气,电器仪表,13.93,1.0,1.0,12.72,北京中潞福银投资有限公司-中潞壹号证券投资基金,1.0
39,003035.SZ,003035,南网能源,新型电力,14.17,1.0,1.0,107.35,,0.0
40,605228.SH,605228,神通科技,汽车配件,14.32,1.0,1.0,11.46,,0.0
41,003013.SZ,003013,地铁设计,建筑工程,22.08,1.0,1.0,8.83,,0.0
42,605303.SH,605303,园林股份,建筑工程,25.11,1.0,1.0,10.12,,0.0
43,603095.SH,603095,越剑智能,纺织机械,26.0,1.0,1.0,8.58,,0.0
44,605199.SH,605199,葫芦娃,中成药,28.05,1.0,1.0,11.25,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
45,003041.SZ,003041,真爱美家,纺织,28.51,1.0,1.0,7.13,,0.0
46,003043.SZ,003043,华亚智能,专用机械,31.38,1.0,1.0,6.28,,0.0
47,003010.SZ,003010,若羽臣,互联网,31.75,1.0,1.0,9.66,上海量宇资产管理有限公司-量宇冠一八号私募证券投资基金,1.0
48,003042.SZ,003042,中农联合,农药化肥,34.16,1.0,1.0,9.36,,0.0
49,605081.SH,605081,太和水,环境保护,55.55,1.0,1.0,10.85,,0.0
50,002913.SZ,002913,奥士康,元器件,65.65,1.0,1.0,84.58,"长沙嘉信融成投资基金管理有限公司-融成稳健6号私募证券投资基金
华宝信托有限责任公司-""辉煌""97号单一资金信托
华宝信托有限责任公司-""辉煌""98号单一资金信托
陕西省国际信托股份有限公司-陕国投·奥士康第二期员工持股证券投资集合资金信托计划
香港中央结算有限公司(陆股通)",5.0
