,ts_code,name,industry,continuously_up,average_turnover_rate,LAST_5DAY_WEIGHT_P_CHANGE,LAST_DAY_P_CHANGE
41,000055.SZ,方大集团,其他建材,3.0,17.675,36.14,4.232
2119,300749.SZ,顶固集创,家居用品,2.0,62.856,32.39,3.396
1465,300080.SZ,易成新能,半导体,2.0,12.07,30.51,8.414
2309,600218.SH,全柴动力,农用机械,2.0,13.548,25.82,10.0
1190,002733.SZ,雄韬股份,电气设备,7.0,13.608,23.44,7.52
3245,603220.SH,贝通信,通信设备,2.0,52.23,19.72,10.012
269,000723.SZ,美锦能源,焦炭加工,2.0,10.496,18.11,8.14
1960,300582.SZ,英飞特,半导体,0.0,10.404,15.72,9.975
1378,002937.SZ,兴瑞科技,元器件,2.0,34.241,14.21,6.259
3231,603186.SH,华正新材,元器件,2.0,16.881,13.98,10.02
1340,002895.SZ,川恒股份,化工原料,2.0,25.287,13.18,-2.522
3329,603421.SH,鼎信通讯,通信设备,2.0,25.621,12.69,1.691
2559,600532.SH,宏达矿业,普钢,2.0,10.992,12.38,4.167
2507,600470.SH,六国化工,农药化肥,2.0,12.905,12.15,2.155
1383,002942.SZ,新农股份,农药化肥,2.0,58.928,11.96,-1.397
1333,002887.SZ,绿茵生态,环境保护,2.0,12.343,11.31,2.157
1384,002943.SZ,宇晶股份,机床制造,2.0,48.917,10.92,-2.606
1318,002871.SZ,伟隆股份,机械基件,2.0,44.585,10.48,-1.263
2622,600604.SH,市北高新,园区开发,0.0,12.641,9.09,7.187
1501,300116.SZ,坚瑞沃能,电气设备,2.0,15.441,9.09,0.0
2122,300752.SZ,隆利科技,元器件,0.0,35.585,8.45,10.003
1228,002774.SZ,快意电梯,运输设备,0.0,16.814,7.93,10.022
2079,300705.SZ,九典制药,化学制药,2.0,13.491,6.81,-2.628
2049,300674.SZ,宇信科技,软件服务,2.0,45.556,6.7,1.62
3446,603713.SH,密尔克卫,仓储物流,2.0,16.148,6.46,-1.449
186,000610.SZ,西安旅游,旅游服务,2.0,10.852,6.23,-0.843
2068,300693.SZ,盛弘股份,电气设备,0.0,21.135,6.06,10.023
2115,300745.SZ,欣锐科技,汽车配件,2.0,23.953,5.91,3.356
1307,002860.SZ,星帅尔,电气设备,2.0,15.129,5.84,-1.728
1381,002940.SZ,昂利康,化学制药,2.0,20.124,5.62,1.343
3485,603810.SH,丰山集团,农药化肥,1.0,19.124,5.42,-0.417
2010,300634.SZ,彩讯股份,软件服务,2.0,15.781,5.37,-2.975
2069,300694.SZ,蠡湖股份,汽车配件,4.0,40.716,5.16,10.008
3371,603583.SH,捷昌驱动,电气设备,2.0,11.224,4.97,1.161
3475,603790.SH,雅运股份,染料涂料,2.0,33.528,4.6,0.0
1177,002719.SZ,麦趣尔,乳制品,1.0,10.585,4.57,-0.166
1374,002932.SZ,明德生物,医疗保健,2.0,13.539,4.37,-0.581
1296,002848.SZ,高斯贝尔,通信设备,2.0,26.812,4.22,-2.202
3236,603196.SH,日播时尚,服饰,1.0,23.139,4.2,-2.691
2113,300742.SZ,越博动力,汽车配件,2.0,11.557,4.19,2.116
1375,002933.SZ,新兴装备,航空,2.0,20.222,3.96,2.242
3235,603192.SH,汇得科技,化工原料,2.0,19.507,3.88,2.601
3384,603602.SH,纵横通信,通信设备,4.0,11.05,3.75,-2.341
3411,603657.SH,春光科技,塑料,2.0,19.882,3.69,3.464
1303,002856.SZ,美芝股份,装修装饰,2.0,15.257,3.35,-1.911
3188,603098.SH,森特股份,装修装饰,0.0,12.71,3.28,-2.619
3408,603650.SH,彤程新材,化工原料,2.0,13.641,3.09,0.948
3513,603876.SH,鼎胜新材,铝,2.0,15.366,2.91,3.068
3297,603336.SH,宏辉果蔬,农业综合,0.0,13.268,2.56,2.459
1327,002881.SZ,美格智能,通信设备,0.0,16.491,2.37,-0.514
3379,603596.SH,伯特利,汽车配件,1.0,10.682,2.0,5.012
3136,603013.SH,亚普股份,汽车配件,2.0,14.113,1.86,2.981
2020,300644.SZ,南京聚隆,塑料,0.0,20.066,1.65,4.005
2022,300647.SZ,超频三,元器件,0.0,11.612,1.22,4.597
1964,300586.SZ,美联新材,化工原料,2.0,13.779,1.2,6.814
3232,603187.SH,海容冷链,机械基件,2.0,18.787,0.81,1.992
3269,603297.SH,永新光学,电器仪表,2.0,16.405,0.8,2.288
2118,300748.SZ,金力永磁,元器件,2.0,36.547,0.39,1.936
3453,603726.SH,朗迪集团,机械基件,0.0,10.302,0.38,-1.069
3164,603045.SH,福达合金,电气设备,0.0,11.2,0.37,1.836
3562,603976.SH,正川股份,医疗保健,0.0,10.284,0.05,-0.423
3230,603185.SH,上机数控,机床制造,0.0,20.984,-1.29,-0.827
2778,600776.SH,东方通信,通信设备,13.0,10.887,-1.42,-5.355
534,002072.SZ,凯瑞德,互联网,0.0,10.569,-1.55,1.881
2123,300753.SZ,爱朋医疗,医疗保健,2.0,30.426,-1.84,-1.558
2958,601066.SH,中信建投,证券,2.0,13.631,-1.92,0.095
1373,002931.SZ,锋龙股份,汽车配件,0.0,11.954,-2.1,1.057
2983,601162.SH,天风证券,证券,5.0,14.299,-2.26,-0.273
1376,002935.SZ,天奥电子,元器件,0.0,18.2,-2.49,1.534
1309,002862.SZ,实丰文化,文教休闲,0.0,16.782,-2.63,-2.391
3193,603105.SH,芯能科技,电气设备,2.0,10.315,-4.0,0.65
2008,300632.SZ,光莆股份,半导体,4.0,16.583,-4.46,-1.642
1886,300504.SZ,天邑股份,通信设备,0.0,11.457,-4.59,-0.693
2116,300746.SZ,汉嘉设计,建筑施工,2.0,15.503,-4.85,3.013
705,002243.SZ,通产丽星,塑料,6.0,10.213,-4.99,-0.555
1991,300615.SZ,欣天科技,元器件,0.0,11.488,-5.72,-0.678
3045,601606.SH,长城军工,专用机械,5.0,13.581,-5.89,-1.212
3191,603101.SH,汇嘉时代,百货,0.0,11.826,-7.39,-10.0
2959,601068.SH,中铝国际,建筑施工,2.0,11.422,-8.87,0.35
1369,002927.SZ,泰永长征,电气设备,0.0,25.059,-9.8,2.553
1995,300619.SZ,金银河,专用机械,0.0,10.725,-10.12,0.25
2085,300711.SZ,广哈通信,通信设备,0.0,10.068,-10.65,-2.192
2011,300635.SZ,达安股份,建筑施工,0.0,14.195,-11.2,1.624
1382,002941.SZ,新疆交建,建筑施工,4.0,42.661,-14.4,8.13
